country,season,sport,gender,age_group,registered_players,metric_name,source_name,source_url,source_file,quality_flag,age_label,notes
Spain,2015-16,futsal,female,aficionado,4642,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,aficionado,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,alevin,660,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,alevin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,benjamin,214,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,benjamin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,cadete,1474,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,cadete,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,debutante,1,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,debutante,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,infantil,1098,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,infantil,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,juvenil,1602,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,juvenil,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,prebenjamin,125,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,prebenjamin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,female,profesional,20,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,profesional,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,aficionado,20125,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,aficionado,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,alevin,11348,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,alevin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,benjamin,13907,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,benjamin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,cadete,11203,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,cadete,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,debutante,279,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,debutante,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,infantil,11425,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,infantil,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,juvenil,11534,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,juvenil,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,prebenjamin,8998,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,prebenjamin,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2015-16,futsal,male,profesional,172,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,profesional,Image-verified. Source arithmetic error in futsal female total (+-20); values kept as read.
Spain,2016-17,football,female,aficionado,11746,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,aficionado,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,alevin,6312,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,alevin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,benjamin,3810,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,benjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,cadete,5679,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,cadete,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,debutante,88,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,debutante,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,infantil,5211,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,infantil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,juvenil,6457,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,juvenil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,prebenjamin,928,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,prebenjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,female,profesional,123,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,profesional,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,aficionado,123984,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,aficionado,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,alevin,130741,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,alevin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,benjamin,105411,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,benjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,cadete,105976,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,cadete,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,debutante,6546,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,debutante,Image-verified. Corrects prior hard-coded gender splits.
